location_code,city,state,country,location_code_parent,country_iso_code,location_type
1020555,"Poplar Bluff","Missouri","United States",21157,US,City
1020556,"Portageville","Missouri","United States",21157,US,City
1020557,"Potosi","Missouri","United States",21157,US,City
1020558,"Prairie Home","Missouri","United States",21157,US,City
1020559,"Princeton","Missouri","United States",21157,US,City
1020560,"Purdin","Missouri","United States",21157,US,City
1020561,"Purdy","Missouri","United States",21157,US,City
1020562,"Puxico","Missouri","United States",21157,US,City
1020563,"Queen City","Missouri","United States",21157,US,City
1020564,"Ravenwood","Missouri","United States",21157,US,City
1020565,"Raymondville","Missouri","United States",21157,US,City
1020566,"Raymore","Missouri","United States",21157,US,City
1020567,"Reeds Spring","Missouri","United States",21157,US,City
1020568,"Renick","Missouri","United States",21157,US,City
1020569,"Republic","Missouri","United States",21157,US,City
1020570,"Revere","Missouri","United States",21157,US,City
1020571,"Rhineland","Missouri","United States",21157,US,City
1020572,"Rich Hill","Missouri","United States",21157,US,City
1020573,"Richland","Missouri","United States",21157,US,City
1020574,"Richmond","Missouri","United States",21157,US,City
1020575,"Richwoods","Missouri","United States",21157,US,City
1020576,"Ridgeway","Missouri","United States",21157,US,City
1020577,"Risco","Missouri","United States",21157,US,City
1020578,"Riverside","Missouri","United States",21157,US,City
1020579,"Rocheport","Missouri","United States",21157,US,City
1020580,"Rock Port","Missouri","United States",21157,US,City
1020581,"Rogersville","Missouri","United States",21157,US,City
1020582,"Rolla","Missouri","United States",21157,US,City
1020583,"Roscoe","Missouri","United States",21157,US,City
1020584,"Rosendale","Missouri","United States",21157,US,City
1020585,"Russellville","Missouri","United States",21157,US,City
1020586,"Ste. Genevieve","Missouri","United States",21157,US,City
1020587,"Salem","Missouri","United States",21157,US,City
1020588,"Salisbury","Missouri","United States",21157,US,City
1020589,"Sarcoxie","Missouri","United States",21157,US,City
1020590,"Savannah","Missouri","United States",21157,US,City
1020591,"Schell City","Missouri","United States",21157,US,City
1020592,"Scott City","Missouri","United States",21157,US,City
1020593,"Sedalia","Missouri","United States",21157,US,City
1020594,"Senath","Missouri","United States",21157,US,City
1020595,"Seneca","Missouri","United States",21157,US,City
1020596,"Seymour","Missouri","United States",21157,US,City
1020597,"Shelbina","Missouri","United States",21157,US,City
1020598,"Shelbyville","Missouri","United States",21157,US,City
1020599,"Sheldon","Missouri","United States",21157,US,City
1020600,"Shell Knob","Missouri","United States",21157,US,City
1020601,"Sikeston","Missouri","United States",21157,US,City
1020602,"Silex","Missouri","United States",21157,US,City
1020603,"Slater","Missouri","United States",21157,US,City
1020604,"Smithton","Missouri","United States",21157,US,City
